added,collx_id,category,number,name,team,year,brand,set,flags,condition,front_image,back_image,market_value,asking_price,sold_for_price,purchase_price,location,notes,quantity
7/20/26,1115575149497210880,Baseball,735,Roger McDowell,New York Mets,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575149497210880-1-2oKh.jpg,https://storage.googleapis.com/collx-product-images/1115575149497210880-2-YPs6.jpg,1.69,1.5,,,Mule Sauce,,1
7/20/26,1115575153532131328,Baseball,610,Randy Myers,New York Mets,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575153532131328-1-lrEq.jpg,https://storage.googleapis.com/collx-product-images/1115575153532131328-2-6vl8.jpg,0.13,0.25,,,Mule Sauce,,1
7/20/26,1115575141863577600,Baseball,20,Pete Alonso,New York Mets,2023,Topps,2023 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575141863577600-1-0iGs.jpg,https://storage.googleapis.com/collx-product-images/1115575141863577600-2-aVO.jpg,0.11,0.25,,,Mule Sauce,,1
7/20/26,1115575145277741056,Baseball,257,Rick Aguilera,New York Mets,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575145277741056-1-4hq1.jpg,https://storage.googleapis.com/collx-product-images/1115575145277741056-2-5PYG.jpg,0.50,0.5,,,Mule Sauce,,1
7/20/26,1115575130396350464,Baseball,577,Randy Bush,Minnesota Twins,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575130396350464-1-iuZq.jpg,https://storage.googleapis.com/collx-product-images/1115575130396350464-2-yIk0.jpg,0.05,0.25,,,Mule Sauce,,1
7/20/26,1115575134297053184,Baseball,577,Randy Bush,Minnesota Twins,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575134297053184-1-vFKL.jpg,https://storage.googleapis.com/collx-product-images/1115575134297053184-2-QriN.jpg,0.05,0.25,,,Mule Sauce,,1
7/20/26,1115575137904154624,Baseball,355,Nick Madrigal,New York Mets,2025,Topps,2025 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575137904154624-1-F0Q1.jpg,https://storage.googleapis.com/collx-product-images/1115575137904154624-2-Cxe8.jpg,1.99,2,,,Mule Sauce,,1
7/20/26,1115575066710038528,Baseball,50,Mike Trout,Los Angeles Angels,2026,Topps,2026 Topps - Flagship Collection Chrome (Series Two),,RAW,https://storage.googleapis.com/collx-product-images/1115575066710038528-1-wYjZ.jpg,https://storage.googleapis.com/collx-product-images/1115575066710038528-2-Xfa.jpg,2.75,3,,,Mule Sauce,,1
7/20/26,1115575058933798912,Baseball,GW-60,Max Fried,New York Yankees,2026,Topps,2026 Topps - Glove Work,,RAW,https://storage.googleapis.com/collx-product-images/1115575058933798912-1-EBJ.jpg,https://storage.googleapis.com/collx-product-images/1115575058933798912-2-0dpq.jpg,1.29,1.5,,,Mule Sauce,,1
7/20/26,1115575062792558592,Baseball,448,Matt Wallner,Minnesota Twins,2023,Topps,2023 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1115575062792558592-1-XLV.jpg,https://storage.googleapis.com/collx-product-images/1115575062792558592-2-BoDO.jpg,0.21,0.25,,,Mule Sauce,,1
